filename,elevation,azimuth,sar_image_shape,silhouette_image_shape,sar_csv_path,silhouette_csv_path,hq_sar_path,hq_silhouette_path,wavelength,frequency,range_resolution,range_pixel_spacing,azimuth_resolution,azimuth_pixel_spacing,imagesize,effective_scale
gaofen3_elev30_azim0,30,0,1024x1024,1024x1024,./gaofen3_sar_imagesnew/csv_data/gaofen3_elev30_azim0_sar.csv,./gaofen3_sar_imagesnew/csv_data/gaofen3_elev30_azim0_silhouette.csv,./gaofen3_sar_imagesnew/high_quality/gaofen3_elev30_azim0_sar_hq.png,./gaofen3_sar_imagesnew/high_quality/gaofen3_elev30_azim0_silhouette_hq.png,0.055517,5400000000.0,0.63,0.56,2.5,2.0,1024,3.076015401667693
gaofen3_elev30_azim45,30,45,1024x1024,1024x1024,./gaofen3_sar_imagesnew/csv_data/gaofen3_elev30_azim45_sar.csv,./gaofen3_sar_imagesnew/csv_data/gaofen3_elev30_azim45_silhouette.csv,./gaofen3_sar_imagesnew/high_quality/gaofen3_elev30_azim45_sar_hq.png,./gaofen3_sar_imagesnew/high_quality/gaofen3_elev30_azim45_silhouette_hq.png,0.055517,5400000000.0,0.63,0.56,2.5,2.0,1024,3.076015401667693
gaofen3_elev30_azim90,30,90,1024x1024,1024x1024,./gaofen3_sar_imagesnew/csv_data/gaofen3_elev30_azim90_sar.csv,./gaofen3_sar_imagesnew/csv_data/gaofen3_elev30_azim90_silhouette.csv,./gaofen3_sar_imagesnew/high_quality/gaofen3_elev30_azim90_sar_hq.png,./gaofen3_sar_imagesnew/high_quality/gaofen3_elev30_azim90_silhouette_hq.png,0.055517,5400000000.0,0.63,0.56,2.5,2.0,1024,3.076015401667693
gaofen3_elev30_azim135,30,135,1024x1024,1024x1024,./gaofen3_sar_imagesnew/csv_data/gaofen3_elev30_azim135_sar.csv,./gaofen3_sar_imagesnew/csv_data/gaofen3_elev30_azim135_silhouette.csv,./gaofen3_sar_imagesnew/high_quality/gaofen3_elev30_azim135_sar_hq.png,./gaofen3_sar_imagesnew/high_quality/gaofen3_elev30_azim135_silhouette_hq.png,0.055517,5400000000.0,0.63,0.56,2.5,2.0,1024,3.076015401667693
gaofen3_elev30_azim180,30,180,1024x1024,1024x1024,./gaofen3_sar_imagesnew/csv_data/gaofen3_elev30_azim180_sar.csv,./gaofen3_sar_imagesnew/csv_data/gaofen3_elev30_azim180_silhouette.csv,./gaofen3_sar_imagesnew/high_quality/gaofen3_elev30_azim180_sar_hq.png,./gaofen3_sar_imagesnew/high_quality/gaofen3_elev30_azim180_silhouette_hq.png,0.055517,5400000000.0,0.63,0.56,2.5,2.0,1024,3.076015401667693
gaofen3_elev30_azim225,30,225,1024x1024,1024x1024,./gaofen3_sar_imagesnew/csv_data/gaofen3_elev30_azim225_sar.csv,./gaofen3_sar_imagesnew/csv_data/gaofen3_elev30_azim225_silhouette.csv,./gaofen3_sar_imagesnew/high_quality/gaofen3_elev30_azim225_sar_hq.png,./gaofen3_sar_imagesnew/high_quality/gaofen3_elev30_azim225_silhouette_hq.png,0.055517,5400000000.0,0.63,0.56,2.5,2.0,1024,3.076015401667693
gaofen3_elev30_azim270,30,270,1024x1024,1024x1024,./gaofen3_sar_imagesnew/csv_data/gaofen3_elev30_azim270_sar.csv,./gaofen3_sar_imagesnew/csv_data/gaofen3_elev30_azim270_silhouette.csv,./gaofen3_sar_imagesnew/high_quality/gaofen3_elev30_azim270_sar_hq.png,./gaofen3_sar_imagesnew/high_quality/gaofen3_elev30_azim270_silhouette_hq.png,0.055517,5400000000.0,0.63,0.56,2.5,2.0,1024,3.076015401667693
gaofen3_elev30_azim315,30,315,1024x1024,1024x1024,./gaofen3_sar_imagesnew/csv_data/gaofen3_elev30_azim315_sar.csv,./gaofen3_sar_imagesnew/csv_data/gaofen3_elev30_azim315_silhouette.csv,./gaofen3_sar_imagesnew/high_quality/gaofen3_elev30_azim315_sar_hq.png,./gaofen3_sar_imagesnew/high_quality/gaofen3_elev30_azim315_silhouette_hq.png,0.055517,5400000000.0,0.63,0.56,2.5,2.0,1024,3.076015401667693
gaofen3_elev45_azim0,45,0,1024x1024,1024x1024,./gaofen3_sar_imagesnew/csv_data/gaofen3_elev45_azim0_sar.csv,./gaofen3_sar_imagesnew/csv_data/gaofen3_elev45_azim0_silhouette.csv,./gaofen3_sar_imagesnew/high_quality/gaofen3_elev45_azim0_sar_hq.png,./gaofen3_sar_imagesnew/high_quality/gaofen3_elev45_azim0_silhouette_hq.png,0.055517,5400000000.0,0.63,0.56,2.5,2.0,1024,3.076015401667693
gaofen3_elev45_azim45,45,45,1024x1024,1024x1024,./gaofen3_sar_imagesnew/csv_data/gaofen3_elev45_azim45_sar.csv,./gaofen3_sar_imagesnew/csv_data/gaofen3_elev45_azim45_silhouette.csv,./gaofen3_sar_imagesnew/high_quality/gaofen3_elev45_azim45_sar_hq.png,./gaofen3_sar_imagesnew/high_quality/gaofen3_elev45_azim45_silhouette_hq.png,0.055517,5400000000.0,0.63,0.56,2.5,2.0,1024,3.076015401667693
